""
Admiralty,2015,3,9,3.2,2.4,2.4,3,27.1,31.3,25.1,11.5,43.6
Admiralty,2015,3,10,0,0,0,0,27.5,31.9,24.4,11.6,46.1
Admiralty,2015,3,11,8.4,2.8,3.2,4.6,25.4,26.9,24.3,10.1,34.6
Admiralty,2015,3,12,0,0,0,0,27.1,30.9,24.9,10.8,36.4
Admiralty,2015,3,13,0,0,0,0,27.2,32.2,24.4,12.2,33.8
Admiralty,2015,3,14,0,0,0,0,27.4,32.9,24.4,10.9,30.6
Admiralty,2015,3,15,0,0,0,0,27.4,31,24.9,11.6,31
Admiralty,2015,3,16,1.6,0.8,1.6,1.6,27.3,33.9,25.6,8.5,31
Admiralty,2015,3,17,2.6,1.6,2.6,2.6,28,33.3,25.5,11,27.4
Admiralty,2015,3,18,0,0,0,0,28.3,34.5,25.9,11.7,35.6
Admiralty,2015,3,19,26.6,19.6,25,26.6,28,33.9,26.2,10.7,33.8
Admiralty,2015,3,20,0.2,0.2,0.2,0.2,28.3,33.1,24.7,8.5,38.2
Admiralty,2015,3,21,16.4,15.2,16.2,16.4,27.9,35,24.9,8.6,45.4
Admiralty,2015,3,22,37.4,21.8,32.6,37.4,26.9,32.6,23.1,8.3,57.6
Admiralty,2015,3,23,0,0,0,0,28,33.9,25.2,11.1,33.5
Admiralty,2015,3,24,0,0,0,0,27.9,31,25.9,12.8,35.6
Admiralty,2015,3,25,0,0,0,0,28.4,32.7,26.1,15.8,45.7
Admiralty,2015,3,26,0,0,0,0,28.4,31.9,26.1,15.7,46.4
Admiralty,2015,3,27,0,0,0,0,28.4,32.2,26,14.7,42.1
Admiralty,2015,3,28,3,2.8,3,3,27.6,30.2,26.2,11.7,42.8
Admiralty,2015,3,29,4.8,2.6,2.8,4.6,26.7,29.6,25,8.8,42.8
Admiralty,2015,3,30,0,0,0,0,28.2,32.5,25.6,11.8,36
Admiralty,2015,3,31,34.2,20.2,20.6,21.8,27.3,32.9,24.8,7.4,38.5
Admiralty,2015,4,1,8.2,7.2,7.6,8.2,26.8,32.3,24.8,5.8,29.9
Admiralty,2015,4,2,26.4,24,26.2,26.4,26.6,32.2,23.9,6.5,40.3
Admiralty,2015,4,3,38,33.8,37.8,38,27.5,31.4,22.3,5.3,45.4
Admiralty,2015,4,4,64.4,26.8,42.6,60,27.9,34,24.8,7.1,35.6
Admiralty,2015,4,5,5,2,2.2,2.8,27.3,30.4,24.6,5.5,24.5
Admiralty,2015,4,6,0,0,0,0,28.4,34.8,26.2,7.3,29.9
Admiralty,2015,4,7,0.6,0.6,0.6,0.6,28.5,32.5,26.1,10.8,33.1
Admiralty,2015,4,8,0,0,0,0,28.9,33.3,25.9,11.5,32.8
Admiralty,2015,4,9,0,0,0,0,28.6,32,26.2,12.7,37.4
Admiralty,2015,4,10,0,0,0,0,29,33,26.7,12.4,36.7
Admiralty,2015,4,11,34,24.4,33.6,34,27.2,31.8,22.8,7,28.4
Admiralty,2015,4,12,16.4,13.2,15.2,16.4,27.3,33.1,24,7.7,39.2
Admiralty,2015,4,13,0,0,0,0,28.7,33.4,25.8,11,35.3
Admiralty,2015,4,14,0,0,0,0,28.7,33.4,25.7,11.8,36
Admiralty,2015,4,15,0,0,0,0,28.6,32.2,26,11.8,32
Admiralty,2015,4,16,0,0,0,0,29,32.8,26.6,13.2,36.4
Admiralty,2015,4,17,0,0,0,0,29,32.9,26.3,11.3,32
Admiralty,2015,4,18,0,0,0,0,29.2,33.5,26.9,7.1,31.3
Admiralty,2015,4,19,0.8,0.8,0.8,0.8,28,34.2,25.3,6.8,37.8
Admiralty,2015,4,20,1,1,1,1,28,33.8,25.7,5.5,28.4
Admiralty,2015,4,21,1,0.8,0.8,0.8,27.6,34.4,24.4,7.2,43.9
Admiralty,2015,4,22,14.4,7.4,13.8,14.4,27.6,32.7,24.7,6.7,38.9
Admiralty,2015,4,23,0,0,0,0,27.8,33.5,25.8,5.8,41.8
Admiralty,2015,4,24,15.6,13.8,13.8,15.6,27.2,33.6,24.3,6.3,55.1
Admiralty,2015,4,25,23.6,16.2,17.2,22,26.9,31.6,23.7,7.5,42.5
Admiralty,2015,4,26,18,16.8,17,17,27.5,31.8,24.5,8.3,41.4
Admiralty,2015,4,27,0.6,0.4,0.6,0.6,27.3,32.1,25.4,5.3,36
Admiralty,2015,4,28,20,9.4,11,17.2,27.7,33.8,24.5,6.4,34.6
Admiralty,2015,4,29,0,0,0,0,28.1,33.5,25.5,6.1,26.6
Admiralty,2015,4,30,31.4,29.4,29.8,29.8,27.3,31.8,23,6.6,63.4
Admiralty,2015,5,1,0.2,0.2,0.2,0.2,27.6,31.7,25.5,5.1,28.1
Admiralty,2015,5,2,7.6,7.2,7.4,7.6,27.7,29.8,25.2,6.6,32.8
Admiralty,2015,5,3,87.2,28.2,50.4,80.8,26.8,29.5,23.6,5.7,38.9
Admiralty,2015,5,4,0,0,0,0,27.4,32.6,25.1,5.2,34.2
Admiralty,2015,5,5,0,0,0,0,28.5,33.5,25.1,5.8,24.5
Admiralty,2015,5,6,0,0,0,0,28.8,33.8,26.5,6.3,25.6
Admiralty,2015,5,7,8,6,8,8,28.3,31.6,26.5,6.3,30.2
Admiralty,2015,5,8,4.4,3.4,3.6,3.6,28.3,31.4,26.5,6.1,34.2
Admiralty,2015,5,9,0,0,0,0,29.2,33.1,26.2,6.5,30.2
Admiralty,2015,5,10,0,0,0,0,29.2,33.8,27.4,6.9,26.6
Admiralty,2015,5,11,0,0,0,0,29.9,33.4,27.3,9.3,27
Admiralty,2015,5,12,18,12.2,17.8,17.8,28.9,32.1,25.3,7,36
Admiralty,2015,5,13,8.8,3.6,4.2,4.4,28,31.1,26,5.9,33.8
Admiralty,2015,5,14,1.2,1,1,1.2,28.2,33.5,25.2,6.7,36
Admiralty,2015,5,15,0.4,0.2,0.2,0.2,27,29.7,26,4.3,27
Admiralty,2015,5,16,13.6,13.2,13.6,13.6,28,31.9,25.8,4.8,28.8
Admiralty,2015,5,17,8,6.6,7.4,8,28.5,33.9,25.8,6.2,34.9
Admiralty,2015,5,18,33,26.4,29.8,32.6,27.9,31.7,25.2,4.7,33.8
Admiralty,2015,5,19,2.2,1.8,2,2,28.6,34,26.2,5.5,29.2
Admiralty,2015,5,20,38,19.6,21.4,23.2,27.5,31.7,25.4,6,37.1
Admiralty,2015,5,21,0.4,0.2,0.2,0.4,28.9,33.3,25.7,6.3,26.3
Admiralty,2015,5,22,0.8,0.8,0.8,0.8,28.8,32.7,27.1,5.6,30.6
Admiralty,2015,5,23,5,1.6,2.6,4,26.8,28.3,25.2,6.1,30.6
